condition,seed,domain,pred_len,seq_len,gradnorm_mean,gradnorm_std,gradnorm_n,attn_entropy_rel_mean,attn_max_weight_mean,attn_n_batches,divergence_mean_sq,divergence_max_sq,divergence_n_samples
C1_original,2021,Agriculture,8,192,0.317263,0.28966,3,0.966433,0.174762,3,0.050455,0.336875,10
C1_original,2022,Agriculture,8,192,0.060232,0.072112,3,0.966353,0.17501,3,0.02045,0.052808,10
C1_original,2023,Agriculture,8,192,0.319891,0.297271,3,0.966419,0.174894,3,0.039111,0.172219,10
C1_original,2021,Economy,8,192,0.688408,0.765,3,0.9656,0.175094,3,0.034738,0.082253,10
C1_original,2022,Economy,8,192,1.04275,1.126419,3,0.965895,0.17488,3,0.115387,0.830793,10
C1_original,2023,Economy,8,192,0.209946,0.0626,3,0.965777,0.174637,3,0.068327,0.206474,10
C1_original,2021,Health,8,96,0.006391,0.009566,3,0.973086,0.163159,3,0.023459,0.06619,10
C1_original,2022,Health,8,96,0.020521,0.031373,3,0.973139,0.163303,3,0.025931,0.115564,10
C1_original,2023,Health,8,96,0.035096,0.035627,3,0.973374,0.162435,3,0.0201,0.059199,10
C1_original,2021,Climate,8,192,0.008886,0.013704,3,0.987274,0.142609,3,0.019465,0.035876,10
C1_original,2022,Climate,8,192,0.005541,0.007365,3,0.987203,0.14302,3,0.024146,0.052638,10
C1_original,2023,Climate,8,192,0.001224,0.000498,3,0.987269,0.142728,3,0.030732,0.097253,10
C1_original,2021,Security,8,220,0.265997,0.27733,3,0.982115,0.147066,3,0.056297,0.103634,10
C1_original,2022,Security,8,220,0.146964,0.167218,3,0.982307,0.146894,3,0.084351,0.390288,10
C1_original,2023,Security,8,220,0.186519,0.090106,3,0.982207,0.146839,3,0.146128,1.015046,10
C1_original,2021,Traffic,8,96,0.000543,0.000645,3,0.987676,0.142113,3,0.001814,0.007018,10
C1_original,2022,Traffic,8,96,0.003123,0.004844,3,0.987542,0.142,3,0.000924,0.001824,10
C1_original,2023,Traffic,8,96,0.041015,0.069572,3,0.987903,0.140836,3,0.001486,0.00282,10
C1_original,2021,Environment,8,528,0.008993,0.008841,3,0.98272,0.150771,3,0.003799,0.007355,10
C1_original,2022,Environment,8,528,0.00632,0.004593,3,0.982775,0.150546,3,0.007394,0.039082,10
C1_original,2023,Environment,8,528,0.010288,0.001199,3,0.98269,0.151006,3,0.00468,0.011971,10
C1_original,2021,SocialGood,8,192,0.023206,0.009046,3,0.968402,0.163603,3,0.077393,0.168517,10
C1_original,2022,SocialGood,8,192,0.03539,0.023722,3,0.968586,0.16348,3,0.063453,0.207686,10
C1_original,2023,SocialGood,8,192,0.0295,0.009271,3,0.968716,0.163566,3,0.096273,0.250923,10
C1_original,2021,Energy,8,1056,0.275211,0.467456,3,0.964898,0.170908,3,0.026671,0.052261,10
C1_original,2022,Energy,8,1056,0.027214,0.020702,3,0.964657,0.170792,3,0.021065,0.048401,10
C1_original,2023,Energy,8,1056,0.320534,0.519274,3,0.964483,0.171398,3,0.034403,0.105301,10
C2_empty,2021,Agriculture,8,192,0.098991,0.070959,3,0.966689,0.174463,3,0.017548,0.046283,10
C2_empty,2022,Agriculture,8,192,0.034515,0.029555,3,0.966129,0.175296,3,0.01667,0.042142,10
C2_empty,2023,Agriculture,8,192,0.117026,0.114423,3,0.966472,0.174781,3,0.028588,0.098332,10
C2_empty,2021,Economy,8,192,0.030009,0.03309,3,0.965598,0.174596,3,0.050991,0.252353,10
C2_empty,2022,Economy,8,192,0.170088,0.142488,3,0.965799,0.1745,3,0.060837,0.101265,10
C2_empty,2023,Economy,8,192,0.354284,0.587006,3,0.96568,0.174286,3,0.042106,0.148233,10
C2_empty,2021,Health,8,96,0.058649,0.080177,3,0.972938,0.163497,3,0.038199,0.125134,10
C2_empty,2022,Health,8,96,0.049375,0.05269,3,0.973151,0.162974,3,0.015046,0.034742,10
C2_empty,2023,Health,8,96,0.006871,0.008682,3,0.972963,0.163794,3,0.038156,0.244458,10
C2_empty,2021,Climate,8,192,0.004205,0.003596,3,0.987276,0.142749,3,0.016848,0.028468,10
C2_empty,2022,Climate,8,192,0.00233,0.003673,3,0.98725,0.142808,3,0.026704,0.047653,10
C2_empty,2023,Climate,8,192,0.00304,0.001251,3,0.987414,0.142441,3,0.029191,0.056749,10
C2_empty,2021,Security,8,220,0.352363,0.148963,3,0.982125,0.147326,3,0.035678,0.062371,10
C2_empty,2022,Security,8,220,0.149311,0.11606,3,0.982265,0.146915,3,0.064382,0.118981,10
C2_empty,2023,Security,8,220,0.237115,0.306542,3,0.982093,0.146927,3,0.056314,0.126077,10
C2_empty,2021,Traffic,8,96,0.002493,0.003055,3,0.987637,0.141436,3,0.001389,0.003029,10
C2_empty,2022,Traffic,8,96,0.00059,0.000349,3,0.987763,0.141208,3,0.001205,0.0035,10
C2_empty,2023,Traffic,8,96,0.000732,0.000271,3,0.987803,0.141066,3,0.001119,0.002487,10
C2_empty,2021,Environment,8,528,0.010863,0.010469,3,0.982688,0.150906,3,0.006486,0.018626,10
C2_empty,2022,Environment,8,528,0.008848,0.014341,3,0.982653,0.150949,3,0.003453,0.007058,10
C2_empty,2023,Environment,8,528,0.005028,0.003066,3,0.982661,0.151065,3,0.006946,0.020098,10
C2_empty,2021,SocialGood,8,192,0.02497,0.020935,3,0.96831,0.164016,3,0.164604,1.210176,10
C2_empty,2022,SocialGood,8,192,0.01927,0.003056,3,0.968771,0.163105,3,0.145999,0.324698,10
C2_empty,2023,SocialGood,8,192,0.033736,0.013365,3,0.968438,0.163827,3,0.028523,0.063953,10
C2_empty,2021,Energy,8,1056,0.175506,0.265352,3,0.964994,0.170055,3,0.101665,0.693781,10
C2_empty,2022,Energy,8,1056,0.043699,0.056636,3,0.964361,0.171301,3,0.042517,0.203959,10
C2_empty,2023,Energy,8,1056,0.015881,0.013568,3,0.964455,0.171027,3,0.038838,0.107445,10
C3_shuffled,2021,Agriculture,8,192,0.054605,0.074727,3,0.96611,0.17574,3,0.010858,0.034164,10
C3_shuffled,2022,Agriculture,8,192,0.132567,0.187014,3,0.966545,0.175028,3,0.014777,0.039142,10
C3_shuffled,2023,Agriculture,8,192,0.186085,0.09996,3,0.966347,0.174702,3,0.012127,0.036325,10
C3_shuffled,2021,Economy,8,192,2.084104,3.543377,3,0.966358,0.173874,3,0.030313,0.090717,10
C3_shuffled,2022,Economy,8,192,0.339308,0.453661,3,0.965887,0.17437,3,0.061326,0.174963,10
C3_shuffled,2023,Economy,8,192,0.202745,0.123523,3,0.966096,0.174125,3,0.034515,0.12213,10
C3_shuffled,2021,Health,8,96,0.050219,0.061984,3,0.972826,0.163426,3,0.025623,0.051731,10
C3_shuffled,2022,Health,8,96,0.017039,0.019965,3,0.973243,0.163148,3,0.013853,0.058695,10
C3_shuffled,2023,Health,8,96,0.031127,0.050936,3,0.972943,0.163427,3,0.040918,0.187809,10
C3_shuffled,2021,Climate,8,192,0.032311,0.037272,3,0.987304,0.142766,3,0.028069,0.054239,10
C3_shuffled,2022,Climate,8,192,0.003149,0.003642,3,0.987307,0.142635,3,0.016818,0.032126,10
C3_shuffled,2023,Climate,8,192,0.001346,0.001359,3,0.987354,0.142525,3,0.020412,0.035229,10
C3_shuffled,2021,Security,8,220,0.38924,0.577749,3,0.982017,0.147222,3,0.065167,0.121685,10
C3_shuffled,2022,Security,8,220,0.197999,0.015912,3,0.98221,0.146995,3,0.060223,0.123335,10
C3_shuffled,2023,Security,8,220,0.179447,0.05534,3,0.982113,0.147087,3,0.047135,0.134585,10
C3_shuffled,2021,Traffic,8,96,0.00289,0.002371,3,0.987389,0.142465,3,0.001185,0.002485,10
C3_shuffled,2022,Traffic,8,96,0.001413,0.001393,3,0.987853,0.140714,3,0.001083,0.002642,10
C3_shuffled,2023,Traffic,8,96,0.002856,0.001328,3,0.987825,0.140949,3,0.001311,0.003497,10
C3_shuffled,2021,Environment,8,528,0.008146,0.00656,3,0.982667,0.150718,3,0.007857,0.030791,10
C3_shuffled,2022,Environment,8,528,0.003176,0.00268,3,0.982725,0.150581,3,0.004921,0.010229,10
C3_shuffled,2023,Environment,8,528,0.00624,0.002306,3,0.982816,0.15074,3,0.009076,0.025015,10
C3_shuffled,2021,SocialGood,8,192,0.027702,0.02754,3,0.968435,0.163468,3,0.075363,0.18519,10
C3_shuffled,2022,SocialGood,8,192,0.026146,0.008678,3,0.968474,0.163838,3,0.041803,0.089918,10
C3_shuffled,2023,SocialGood,8,192,0.027171,0.029861,3,0.968519,0.164054,3,0.058903,0.168827,10
C3_shuffled,2021,Energy,8,1056,0.016429,0.004391,3,0.965028,0.170175,3,0.172598,0.820123,10
C3_shuffled,2022,Energy,8,1056,0.089545,0.123097,3,0.964378,0.171071,3,0.056541,0.182067,10
C3_shuffled,2023,Energy,8,1056,0.067693,0.087038,3,0.964473,0.171715,3,0.042494,0.147634,10
C4_crossdomain,2021,Agriculture,8,192,0.04253,0.050433,3,0.96642,0.174478,3,0.020889,0.058789,10
C4_crossdomain,2022,Agriculture,8,192,0.093618,0.104982,3,0.966628,0.175143,3,0.01189,0.034835,10
C4_crossdomain,2023,Agriculture,8,192,0.303465,0.314785,3,0.96663,0.174803,3,0.017242,0.0367,10
C4_crossdomain,2021,Economy,8,192,0.150628,0.204745,3,0.965683,0.174917,3,0.045689,0.112943,10
C4_crossdomain,2022,Economy,8,192,0.133694,0.118408,3,0.965427,0.174466,3,0.039471,0.187894,10
C4_crossdomain,2023,Economy,8,192,0.1269,0.181847,3,0.965468,0.174335,3,0.049844,0.226391,10
C4_crossdomain,2021,Health,8,96,0.032576,0.051672,3,0.973005,0.163436,3,0.013627,0.035777,10
C4_crossdomain,2022,Health,8,96,0.024535,0.025343,3,0.973394,0.162459,3,0.017619,0.127043,10
C4_crossdomain,2023,Health,8,96,0.044498,0.074568,3,0.97331,0.16254,3,0.079082,0.393381,10
C4_crossdomain,2021,Climate,8,192,0.00133,0.000906,3,0.987396,0.142276,3,0.035895,0.072512,10
C4_crossdomain,2022,Climate,8,192,0.001696,0.001515,3,0.987553,0.142143,3,0.022358,0.035191,10
C4_crossdomain,2023,Climate,8,192,0.001212,0.000813,3,0.987411,0.142267,3,0.017547,0.049049,10
C4_crossdomain,2021,Security,8,220,0.261055,0.259576,3,0.982209,0.147087,3,0.063594,0.157452,10
C4_crossdomain,2022,Security,8,220,0.136116,0.135328,3,0.982134,0.146963,3,0.049721,0.09814,10
C4_crossdomain,2023,Security,8,220,0.126266,0.114945,3,0.982337,0.146807,3,0.03517,0.057957,10
C4_crossdomain,2021,Traffic,8,96,0.004355,0.007064,3,0.987748,0.140795,3,0.001045,0.001991,10
C4_crossdomain,2022,Traffic,8,96,0.000428,0.00029,3,0.987948,0.141017,3,0.0023,0.014077,10
C4_crossdomain,2023,Traffic,8,96,0.001243,0.001421,3,0.987839,0.140942,3,0.001758,0.00352,10
C4_crossdomain,2021,Environment,8,528,0.007164,0.004938,3,0.982795,0.150661,3,0.005264,0.023233,10
C4_crossdomain,2022,Environment,8,528,0.014304,0.013191,3,0.982612,0.151012,3,0.013516,0.051003,10
C4_crossdomain,2023,Environment,8,528,0.017129,0.016712,3,0.982747,0.15072,3,0.003739,0.010892,10
C4_crossdomain,2021,SocialGood,8,192,0.038205,0.037924,3,0.96848,0.164124,3,0.135959,0.313475,10
C4_crossdomain,2022,SocialGood,8,192,0.022556,0.009435,3,0.968702,0.163598,3,0.091304,0.228529,10
C4_crossdomain,2023,SocialGood,8,192,0.028927,0.026548,3,0.968383,0.164073,3,0.069794,0.262037,10
C4_crossdomain,2021,Energy,8,1056,0.186242,0.271955,3,0.964296,0.171924,3,0.046017,0.140939,10
C4_crossdomain,2022,Energy,8,1056,0.062424,0.061529,3,0.964584,0.171318,3,0.03075,0.069425,10
C4_crossdomain,2023,Energy,8,1056,0.084277,0.109673,3,0.964791,0.171645,3,0.02592,0.058044,10
C5_constant,2021,Agriculture,8,192,0.20691,0.111233,3,0.967207,0.173839,3,0.02897,0.166231,10
C5_constant,2022,Agriculture,8,192,0.272849,0.249584,3,0.967016,0.174284,3,0.022903,0.065381,10
C5_constant,2023,Agriculture,8,192,0.155384,0.108221,3,0.967016,0.174577,3,0.073732,0.336098,10
C5_constant,2021,Economy,8,192,0.03663,0.039652,3,0.966398,0.173717,3,0.07752,0.353611,10
C5_constant,2022,Economy,8,192,0.407981,0.554826,3,0.966711,0.173453,3,0.026228,0.044649,10
C5_constant,2023,Economy,8,192,0.170401,0.1493,3,0.966673,0.173305,3,0.053504,0.143144,10
C5_constant,2021,Health,8,96,0.29822,0.514881,3,0.973877,0.161692,3,0.026472,0.08474,10
C5_constant,2022,Health,8,96,0.00789,0.012288,3,0.973563,0.1623,3,0.028746,0.081661,10
C5_constant,2023,Health,8,96,0.900156,1.557733,3,0.973458,0.163095,3,0.047386,0.177495,10
C5_constant,2021,Climate,8,192,0.012021,0.016998,3,0.987593,0.141896,3,0.020612,0.031994,10
C5_constant,2022,Climate,8,192,0.00814,0.011893,3,0.987542,0.14208,3,0.028927,0.082933,10
C5_constant,2023,Climate,8,192,0.002209,0.001488,3,0.987647,0.141897,3,0.029172,0.07818,10
C5_constant,2021,Security,8,220,0.237182,0.342052,3,0.982801,0.146015,3,0.100051,0.200885,10
C5_constant,2022,Security,8,220,0.118149,0.102812,3,0.982565,0.14609,3,0.074734,0.189196,10
C5_constant,2023,Security,8,220,0.220839,0.173023,3,0.982617,0.146201,3,0.055994,0.225284,10
C5_constant,2021,Traffic,8,96,0.004384,0.007054,3,0.988006,0.140935,3,0.001469,0.00549,10
C5_constant,2022,Traffic,8,96,0.000154,0.000115,3,0.988024,0.140641,3,0.001333,0.002316,10
C5_constant,2023,Traffic,8,96,0.001741,0.00175,3,0.987975,0.141012,3,0.001191,0.003646,10
C5_constant,2021,Environment,8,528,0.012052,0.011288,3,0.983095,0.150272,3,0.008593,0.030334,10
C5_constant,2022,Environment,8,528,0.010547,0.00797,3,0.98295,0.150291,3,0.010999,0.037577,10
C5_constant,2023,Environment,8,528,0.01123,0.008598,3,0.982846,0.15061,3,0.048603,0.412679,10
C5_constant,2021,SocialGood,8,192,0.012626,0.008122,3,0.969104,0.163065,3,0.087268,0.31138,10
C5_constant,2022,SocialGood,8,192,0.02294,0.017829,3,0.968886,0.163512,3,0.154425,0.394502,10
C5_constant,2023,SocialGood,8,192,0.014123,0.012931,3,0.969407,0.162499,3,0.065534,0.210025,10
C5_constant,2021,Energy,8,1056,0.237477,0.293657,3,0.9655,0.169478,3,0.020746,0.042148,10
C5_constant,2022,Energy,8,1056,0.058967,0.047372,3,0.965644,0.169828,3,0.038687,0.092114,10
C5_constant,2023,Energy,8,1056,0.763021,1.105867,3,0.965393,0.170495,3,0.064674,0.129398,10
C6_unimodal,2021,Agriculture,8,192,0.039019,0.017477,3,0.966905,0.174294,3,0.013619,0.049188,10
C6_unimodal,2022,Agriculture,8,192,0.773824,0.341724,3,0.967077,0.173913,3,0.02027,0.05224,10
C6_unimodal,2023,Agriculture,8,192,0.032387,0.021742,3,0.966631,0.174719,3,0.011797,0.027027,10
C6_unimodal,2021,Economy,8,192,0.146054,0.074443,3,0.96556,0.175149,3,0.045757,0.155329,10
C6_unimodal,2022,Economy,8,192,0.162532,0.117696,3,0.96602,0.174325,3,0.053178,0.107587,10
C6_unimodal,2023,Economy,8,192,0.027841,0.008769,3,0.96579,0.174728,3,0.050136,0.143479,10
C6_unimodal,2021,Health,8,96,0.02156,0.034027,3,0.97272,0.163341,3,0.035734,0.135936,10
C6_unimodal,2022,Health,8,96,0.06858,0.116281,3,0.973015,0.163471,3,0.035863,0.071848,10
C6_unimodal,2023,Health,8,96,0.257553,0.444546,3,0.973056,0.163096,3,0.03795,0.137726,10
C6_unimodal,2021,Climate,8,192,0.004018,0.003251,3,0.987254,0.142884,3,0.028925,0.096855,10
C6_unimodal,2022,Climate,8,192,0.009739,0.012152,3,0.987306,0.142777,3,0.016767,0.038288,10
C6_unimodal,2023,Climate,8,192,0.003335,0.005264,3,0.987373,0.142332,3,0.031054,0.088925,10
C6_unimodal,2021,Security,8,220,0.178473,0.231115,3,0.982299,0.146589,3,0.070428,0.122214,10
C6_unimodal,2022,Security,8,220,0.09041,0.045604,3,0.982486,0.146347,3,0.053526,0.139166,10
C6_unimodal,2023,Security,8,220,0.110211,0.141938,3,0.982235,0.146768,3,0.059905,0.099912,10
C6_unimodal,2021,Traffic,8,96,0.002449,0.003822,3,0.987789,0.141681,3,0.001324,0.002304,10
C6_unimodal,2022,Traffic,8,96,0.000749,0.000931,3,0.987819,0.141157,3,0.00187,0.004675,10
C6_unimodal,2023,Traffic,8,96,0.000387,0.000217,3,0.987679,0.141592,3,0.001361,0.003644,10
C6_unimodal,2021,Environment,8,528,0.006856,0.006947,3,0.982686,0.150665,3,0.006641,0.026744,10
C6_unimodal,2022,Environment,8,528,0.011174,0.014468,3,0.982758,0.150796,3,0.006007,0.019974,10
C6_unimodal,2023,Environment,8,528,0.009365,0.005749,3,0.982809,0.150587,3,0.014265,0.091086,10
C6_unimodal,2021,SocialGood,8,192,0.01582,0.007804,3,0.968712,0.163489,3,0.077269,0.273477,10
C6_unimodal,2022,SocialGood,8,192,0.01823,0.013848,3,0.9687,0.163717,3,0.064498,0.235052,10
C6_unimodal,2023,SocialGood,8,192,0.015882,0.006399,3,0.968592,0.163888,3,0.064472,0.197936,10
C6_unimodal,2021,Energy,8,1056,0.042707,0.036776,3,0.964496,0.170691,3,0.066941,0.163216,10
C6_unimodal,2022,Energy,8,1056,0.054535,0.074048,3,0.964621,0.171623,3,0.036582,0.149815,10
C6_unimodal,2023,Energy,8,1056,0.047865,0.036167,3,0.964575,0.171405,3,0.032168,0.086352,10
C8_oracle,2021,Agriculture,8,192,0.229358,0.218644,3,0.967339,0.173655,3,0.021592,0.109413,10
C8_oracle,2022,Agriculture,8,192,0.241145,0.150457,3,0.967115,0.174527,3,0.042851,0.117499,10
C8_oracle,2023,Agriculture,8,192,0.19566,0.035977,3,0.966531,0.175006,3,0.0243,0.065048,10
C8_oracle,2021,Economy,8,192,0.598469,0.549357,3,0.966735,0.173081,3,0.041973,0.119309,10
C8_oracle,2022,Economy,8,192,0.485232,0.741249,3,0.966397,0.174026,3,0.050429,0.103216,10
C8_oracle,2023,Economy,8,192,0.518926,0.417356,3,0.966463,0.173632,3,0.03124,0.07316,10
C8_oracle,2021,Health,8,96,0.049989,0.083238,3,0.973877,0.162607,3,0.04128,0.134066,10
C8_oracle,2022,Health,8,96,0.004328,0.002972,3,0.973867,0.162218,3,0.011046,0.025733,10
C8_oracle,2023,Health,8,96,0.010863,0.017114,3,0.973848,0.161965,3,0.027982,0.092934,10
C8_oracle,2021,Climate,8,192,0.001762,0.000988,3,0.9876,0.142069,3,0.025598,0.04606,10
C8_oracle,2022,Climate,8,192,0.004159,0.002687,3,0.987781,0.141666,3,0.024108,0.058366,10
C8_oracle,2023,Climate,8,192,0.010231,0.009239,3,0.987542,0.142396,3,0.021374,0.041034,10
C8_oracle,2021,Security,8,220,0.478447,0.281236,3,0.98284,0.145837,3,0.037486,0.064544,10
C8_oracle,2022,Security,8,220,0.039566,0.042642,3,0.982425,0.146765,3,0.030446,0.04584,10
C8_oracle,2023,Security,8,220,0.168698,0.186643,3,0.982544,0.146707,3,0.060433,0.101414,10
C8_oracle,2021,Traffic,8,96,0.001395,0.001676,3,0.987884,0.141051,3,0.001328,0.002425,10
C8_oracle,2022,Traffic,8,96,0.00223,0.00324,3,0.987957,0.141259,3,0.000875,0.001872,10
C8_oracle,2023,Traffic,8,96,0.002745,0.00418,3,0.988239,0.140374,3,0.001282,0.002619,10
C8_oracle,2021,Environment,8,528,0.038103,0.052666,3,0.983234,0.14987,3,0.004957,0.024206,10
C8_oracle,2022,Environment,8,528,0.009884,0.006519,3,0.983147,0.150109,3,0.0045,0.009589,10
C8_oracle,2023,Environment,8,528,0.049051,0.078227,3,0.983231,0.149801,3,0.007402,0.018833,10
C8_oracle,2021,SocialGood,8,192,0.011944,0.005699,3,0.969477,0.162234,3,0.071075,0.130898,10
C8_oracle,2022,SocialGood,8,192,0.00616,0.003264,3,0.968823,0.163841,3,0.30871,0.696572,10
C8_oracle,2023,SocialGood,8,192,0.019063,0.013299,3,0.969371,0.162821,3,0.183976,0.828706,10
C8_oracle,2021,Energy,8,1056,0.322514,0.515311,3,0.966211,0.169069,3,0.329887,2.896334,10
C8_oracle,2022,Energy,8,1056,0.037092,0.031847,3,0.965852,0.169262,3,0.086949,0.348718,10
C8_oracle,2023,Energy,8,1056,0.056571,0.051975,3,0.965884,0.169324,3,0.062218,0.193761,10
C9_zero_priors,2021,Agriculture,8,192,0.043326,0.038542,3,0.966779,0.174345,3,0.016544,0.059284,10
C9_zero_priors,2022,Agriculture,8,192,0.513526,0.690316,3,0.966501,0.175025,3,0.023254,0.071996,10
C9_zero_priors,2023,Agriculture,8,192,0.311157,0.062467,3,0.966547,0.174544,3,0.013827,0.035621,10
C9_zero_priors,2021,Economy,8,192,3.325531,5.033438,3,0.965452,0.174739,3,0.03117,0.085423,10
C9_zero_priors,2022,Economy,8,192,0.748342,0.60428,3,0.965729,0.174751,3,0.057407,0.157396,10
C9_zero_priors,2023,Economy,8,192,0.065633,0.046275,3,0.965623,0.174699,3,0.051627,0.225861,10
C9_zero_priors,2021,Health,8,96,0.00777,0.006864,3,0.973017,0.164156,3,0.019783,0.084975,10
C9_zero_priors,2022,Health,8,96,0.040981,0.043049,3,0.973096,0.163515,3,0.020256,0.063806,10
C9_zero_priors,2023,Health,8,96,0.004113,0.005559,3,0.97322,0.162857,3,0.026903,0.090589,10
C9_zero_priors,2021,Climate,8,192,0.017464,0.028109,3,0.987436,0.142213,3,0.022822,0.041233,10
C9_zero_priors,2022,Climate,8,192,0.000815,0.000403,3,0.98734,0.142359,3,0.032326,0.077877,10
C9_zero_priors,2023,Climate,8,192,0.004225,0.005492,3,0.987296,0.142704,3,0.026596,0.053753,10
C9_zero_priors,2021,Security,8,220,0.216537,0.292331,3,0.982011,0.147404,3,0.053134,0.142746,10
C9_zero_priors,2022,Security,8,220,0.2394,0.330409,3,0.981989,0.147234,3,0.046514,0.08183,10
C9_zero_priors,2023,Security,8,220,0.083605,0.033382,3,0.981981,0.147082,3,0.037533,0.083825,10
C9_zero_priors,2021,Traffic,8,96,0.002347,0.003135,3,0.987803,0.141592,3,0.001473,0.002661,10
C9_zero_priors,2022,Traffic,8,96,0.001142,0.001355,3,0.987886,0.14079,3,0.002484,0.00749,10
C9_zero_priors,2023,Traffic,8,96,0.001307,0.001132,3,0.987645,0.141125,3,0.00096,0.002216,10
C9_zero_priors,2021,Environment,8,528,0.009306,0.008728,3,0.982743,0.150883,3,0.002627,0.008959,10
C9_zero_priors,2022,Environment,8,528,0.008797,0.003645,3,0.98285,0.150524,3,0.02857,0.202533,10
C9_zero_priors,2023,Environment,8,528,0.007499,0.00464,3,0.982777,0.150684,3,0.008761,0.038866,10
C9_zero_priors,2021,SocialGood,8,192,0.011307,0.003821,3,0.969022,0.162907,3,0.054779,0.169767,10
C9_zero_priors,2022,SocialGood,8,192,0.010592,0.005169,3,0.968894,0.163326,3,0.051427,0.142735,10
C9_zero_priors,2023,SocialGood,8,192,0.033698,0.024693,3,0.968209,0.164065,3,0.022922,0.062316,10
C9_zero_priors,2021,Energy,8,1056,0.17236,0.143792,3,0.964687,0.170625,3,0.031348,0.119986,10
C9_zero_priors,2022,Energy,8,1056,0.031889,0.023071,3,0.964901,0.170348,3,0.024053,0.041989,10
C9_zero_priors,2023,Energy,8,1056,1.240625,1.210016,3,0.964705,0.170873,3,0.054113,0.239449,10
